context_label,strategy,strategy_label,request_count,request_count_ci95,request_count_seed_n,mean_ttft_ms,mean_ttft_ms_ci95,mean_ttft_ms_seed_n,mean_e2e_ms,mean_e2e_ms_ci95,mean_e2e_ms_seed_n,p95_e2e_ms,p95_e2e_ms_ci95,p95_e2e_ms_seed_n,p99_e2e_ms,p99_e2e_ms_ci95,p99_e2e_ms_seed_n,mean_tpot_ms,mean_tpot_ms_ci95,mean_tpot_ms_seed_n,mean_throughput_tps,mean_throughput_tps_ci95,mean_throughput_tps_seed_n,cache_hit_ratio,cache_hit_ratio_ci95,cache_hit_ratio_seed_n,prefix_hit_ratio,prefix_hit_ratio_ci95,prefix_hit_ratio_seed_n,mean_bandwidth_bytes,mean_bandwidth_bytes_ci95,mean_bandwidth_bytes_seed_n,mean_vram_peak_gb,mean_vram_peak_gb_ci95,mean_vram_peak_gb_seed_n,privacy_exposure_rate,privacy_exposure_rate_ci95,privacy_exposure_rate_seed_n,mean_quality,mean_quality_ci95,mean_quality_seed_n
ctx_1024,cloud_only,Cloud-only,400.0,0.0,5,694.7266205191784,54.36903750035564,5,1827.9791900217874,55.62544595319071,5,3124.898499568041,113.45641838631154,5,3410.749756321797,89.35168010917538,5,8.47457627118644,1.9101388300573337e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,1959.598,121.38572574606823,5,0.0,0.0,5,1.0,0.0,5,0.9319093,0.0014166445737177264,5
ctx_1024,edge_only,Edge-only,400.0,0.0,5,2695.032499030853,1224.6691117023036,5,4587.610186331922,1212.242610380147,5,7307.952982187713,1624.572396791027,5,8311.84030096271,1421.0995436182293,5,14.705882352941178,3.8202776601146675e-15,5,68.0,0.0,5,0.0,0.0,5,0.0,0.0,5,547.7879999999999,34.00225548234535,5,3.7803367156982426,0.002138338207926054,5,0.0,0.0,5,0.82666705,0.0027140427781816557,5
ctx_1024,ours,Ours,400.0,0.0,5,300.7016786594414,30.023941436232448,5,1126.0030409225142,52.40510095791332,5,2742.5088998997244,95.59314262587498,5,3134.902967973748,76.49499593664846,5,6.298164629302308,0.3089939832680385,5,1167.9562026968244,65.74870166760489,5,0.414,0.0225559466629904,5,0.487,0.02535169577807349,5,1095.0555,131.14296074191188,5,0.6931782302856446,0.1451744172957097,5,0.0,0.0,5,0.908454381,0.00699444763453129,5
ctx_1024,static_threshold,Static-threshold,400.0,0.0,5,1731.70520871585,645.7577003284638,5,3343.0256602440977,643.8153367243889,5,6651.812422383044,1360.569370861049,5,8038.391232096532,1419.4373009511223,5,12.330781465128425,0.11924985944352423,5,87.24600000000001,0.8988824106649775,5,0.0,0.0,5,0.0,0.0,5,1016.0079999999998,42.20890308198162,5,2.3108676898193368,0.06986281669465964,5,0.0,0.0,5,0.8660361230000001,0.004118356082857337,5
ctx_2048,cloud_only,Cloud-only,400.0,0.0,5,918.4801479720556,109.29680404502611,5,2062.2852399097947,114.77056596561188,5,4615.11718833805,146.6194369603047,5,4908.915770086283,167.17401482892512,5,8.47457627118644,2.2056383354463166e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2399.936,232.8051456763782,5,0.0,0.0,5,1.0,0.0,5,0.9316968999999998,0.0014715131914366762,5
ctx_2048,edge_only,Edge-only,400.0,0.0,5,4543.935701829164,2478.4544489669174,5,6454.82208142423,2471.946146386428,5,10813.6699093456,3151.984884351606,5,12752.393163653724,2541.816817499631,5,14.705882352941178,3.8202776601146675e-15,5,68.0,0.0,5,0.0,0.0,5,0.0,0.0,5,671.086,65.17697498334887,5,3.788131286621094,0.004107118403701665,5,0.0,0.0,5,0.8262776500000001,0.0028021462409296796,5
ctx_2048,ours,Ours,400.0,0.0,5,421.7201234092851,47.671262513929456,5,1257.1588232104764,64.75938132481265,5,3310.3429566888844,145.09142429834708,5,4559.281866507625,269.63512654742533,5,6.298164629302308,0.3259364684053183,5,1167.9562026968244,65.64255689928426,5,0.414,0.0225559466629904,5,0.487,0.02535169577807349,5,1507.1364999999998,247.04566315394493,5,0.6933104095458985,0.17006524110129873,5,0.0,0.0,5,0.9077226885,0.00826297625436248,5
ctx_2048,static_threshold,Static-threshold,400.0,0.0,5,2808.6196156626306,1308.76088622503,5,4436.311179078603,1311.1786243806202,5,9859.909285959602,2810.3719444572184,5,12246.92376340724,2783.479341469356,5,12.315446517590086,0.11793959604219989,5,87.322,0.9223649842123877,5,0.0,0.0,5,0.0,0.0,5,1164.7559999999999,70.52048459947784,5,2.316368277587891,0.0726896564925721,5,0.0,0.0,5,0.8658436989999998,0.004264715066581994,5
ctx_4096,cloud_only,Cloud-only,400.0,0.0,5,1415.689572154451,282.15520874297965,5,2581.7380110235554,291.3011571204735,5,7613.402663192505,376.13858945940433,5,8262.973462276499,501.811011790437,5,8.47457627118644,1.9101388300573337e-15,5,118.0,0.0,5,0.0,0.0,5,0.0,0.0,5,3261.8599999999997,472.1014037298463,5,0.0,0.0,5,1.0,0.0,5,0.9314845,0.0015272563475206666,5
ctx_4096,edge_only,Edge-only,400.0,0.0,5,9985.358314863883,4271.328047997093,5,11934.832465683949,4266.344934103747,5,20824.401651275435,7139.872364855786,5,24721.30740420849,7677.122041190964,5,14.705882352941178,3.8202776601146675e-15,5,68.0,0.0,5,0.0,0.0,5,0.0,0.0,5,912.43,132.18582454220157,5,3.803365707397462,0.008345312535409976,5,0.0,0.0,5,0.82588825,0.002892616899041465,5
