network,network_label,strategy,request_count,mean_ttft_ms,mean_e2e_ms,p95_e2e_ms,p99_e2e_ms,mean_tpot_ms,mean_throughput_tps,cache_hit_ratio,prefix_hit_ratio,mean_bandwidth_bytes,mean_vram_peak_gb,privacy_exposure_rate,mean_quality,strategy_label
congested,Congested,no_privacy,600.0,176.35175164926866,834.7285960018794,2036.8503925289624,2273.3574506101695,6.011562036887149,1301.4872696927189,0.47333333333333333,0.515,668.105,0.8093016942342124,0.6066666666666667,0.88664775,No-privacy
congested,Congested,ours,600.0,366.81367772186155,1233.1627423116374,3060.993479300964,3516.5960045717743,7.916798415442027,1286.565398187887,0.47333333333333333,0.5166666666666667,270.8983333333333,1.9479556269327805,0.0,0.8517529116666668,Ours
mobile_4g5g,4G/5G,no_privacy,600.0,147.62122839414116,665.7669056636157,1492.3048102330438,1609.7677685917665,4.671773205751492,1311.3195884942804,0.47333333333333333,0.52,938.8533333333334,0.0,1.0,0.9460108333333331,No-privacy
mobile_4g5g,4G/5G,ours,600.0,362.7068256961017,1214.0373741175954,3082.099388693017,3612.610963014778,7.802449153283464,1287.1840831984625,0.47333333333333333,0.5183333333333333,287.205,1.8789827468872076,0.0,0.8883606783333332,Ours
weak,Weak,no_privacy,600.0,271.82273277219446,1121.72323840979,2619.9004000015143,2793.5763978095183,7.683419274882676,1286.9110038651936,0.47333333333333333,0.5166666666666667,321.60833333333335,1.8195801798502609,0.08666666666666667,0.8420632916666666,No-privacy
weak,Weak,ours,600.0,371.38637485249507,1250.880929434381,3056.8477940532857,3657.5845933275496,7.968917902281446,1286.4173042046114,0.47333333333333333,0.5183333333333333,261.7583333333333,1.9793338897705084,0.0,0.8369493366666666,Ours
wifi_good,WiFi Good,no_privacy,600.0,134.79190868461095,641.9745351410087,1465.1635584746411,1590.4900440227402,4.672040484540477,1310.1125033607948,0.47333333333333333,0.52,938.8533333333334,0.0,1.0,0.9460108333333331,No-privacy
wifi_good,WiFi Good,ours,600.0,337.11616962508475,1191.0519307836241,2947.7743889335434,3404.399881118815,7.878828623785636,1283.7571851662967,0.47333333333333333,0.5183333333333333,283.4716666666667,1.861713368225098,0.0,0.8872501666666667,Ours
